Zipcode,Latitude,Longitude,QHumid,STemp,PSurf
77002,29.75635,-95.36538,301.2846374511719,6.210948467254639,101228.9765625
77003,29.74961,-95.34521,301.3908996582031,6.226345539093018,101295.9375
77004,29.72477,-95.36498,301.3908996582031,6.248077392578125,101295.9375
77005,29.71824,-95.42413,301.3908996582031,6.23232364654541,101295.9375
77006,29.74086,-95.39126,301.3908996582031,6.25974702835083,101295.9375
77007,29.77152,-95.40919,301.2846374511719,6.197591304779053,101228.9765625
77008,29.79856,-95.41766,301.2846374511719,6.247182369232178,101228.9765625
77009,29.79499,-95.36758,301.2846374511719,6.225719451904297,101228.9765625
77010,29.75368,-95.35987,301.2846374511719,6.210948467254639,101228.9765625
77011,29.743,-95.30785,301.3908996582031,6.244450092315674,101295.9375
77012,29.71904,-95.27449,301.3908996582031,6.219816207885742,101295.9375
77013,29.79516,-95.23895,301.317138671875,6.205931663513184,101319.0
77014,29.98025,-95.46363,301.2846374511719,6.207580089569092,101228.9765625
77015,29.76485,-95.17216,301.317138671875,6.189136981964111,101319.0
77016,29.86147,-95.29951,301.2846374511719,6.172572612762451,101228.9765625
77017,29.69153,-95.25093,301.3908996582031,6.182958126068115,101295.9375
77018,29.82703,-95.42571,301.2846374511719,6.2075419425964355,101228.9765625
77019,29.75318,-95.41212,301.2846374511719,6.183657646179199,101228.9765625
77020,29.76842,-95.30878,301.2846374511719,6.255317687988281,101228.9765625
77021,29.69713,-95.35751,301.3908996582031,6.228729248046875,101295.9375
77022,29.8306,-95.3768,301.2846374511719,6.235663890838623,101228.9765625
77023,29.7216,-95.31827,301.3908996582031,6.240567684173584,101295.9375
77024,29.77073,-95.50869,301.1484069824219,6.201371669769287,101034.3515625
77025,29.68584,-95.43512,301.3908996582031,6.242852210998535,101295.9375
77026,29.80013,-95.32934,301.2846374511719,6.210331916809082,101228.9765625
77027,29.73919,-95.44609,301.3908996582031,6.234704494476318,101295.9375
77028,29.82471,-95.28668,301.2846374511719,6.191787242889404,101228.9765625
77029,29.76382,-95.26326,301.2846374511719,6.242015838623047,101228.9765625
77030,29.70597,-95.40253,301.3908996582031,6.244871616363525,101295.9375
77031,29.65434,-95.54622,301.16839599609375,6.250659465789795,101179.1875
77032,29.96523,-95.34004,301.2846374511719,6.25811243057251,101228.9765625
77033,29.66801,-95.33801,301.3908996582031,6.199706554412842,101295.9375
77034,29.61522,-95.19237,301.54840087890625,6.225792407989502,101391.203125
77035,29.65269,-95.47688,301.3908996582031,6.240443229675293,101295.9375
77036,29.70119,-95.53659,301.16839599609375,6.26210355758667,101179.1875
77037,29.8918,-95.39438,301.2846374511719,6.204994201660156,101228.9765625
77038,29.91906,-95.44121,301.2846374511719,6.209740161895752,101228.9765625
77039,29.90923,-95.34137,301.2846374511719,6.180840492248535,101228.9765625
77040,29.87539,-95.52861,301.1484069824219,6.251109600067139,101034.3515625
77041,29.86203,-95.58187,301.1484069824219,6.251398086547852,101034.3515625
77042,29.74125,-95.56015,301.16839599609375,6.262251377105713,101179.1875
77043,29.8112,-95.57981,301.1484069824219,6.162689208984375,101034.3515625
77044,29.89808,-95.17685,301.317138671875,6.087322235107422,101319.0
77045,29.63634,-95.43279,301.3908996582031,6.194608211517334,101295.9375
77046,29.73438,-95.43301,301.3908996582031,6.225308418273926,101295.9375
77047,29.60843,-95.38662,301.3908996582031,6.1995391845703125,101295.9375
77048,29.62154,-95.32986,301.3908996582031,6.162423610687256,101295.9375
77049,29.83417,-95.14827,301.317138671875,6.205236434936523,101319.0
77050,29.90286,-95.27013,301.2846374511719,6.148574352264404,101228.9765625
77051,29.65586,-95.38023,301.3908996582031,6.214961528778076,101295.9375
77053,29.58549,-95.45991,301.3908996582031,6.195968151092529,101295.9375
77054,29.68102,-95.40424,301.3908996582031,6.242264270782471,101295.9375
77055,29.79757,-95.4928,301.2846374511719,6.210282802581787,101228.9765625
77056,29.74849,-95.46806,301.3908996582031,6.259058475494385,101295.9375
77057,29.74522,-95.48885,301.3908996582031,6.2530083656311035,101295.9375
77058,29.56297,-95.09303,301.54840087890625,6.182982444763184,101391.203125
77059,29.60929,-95.12417,301.54840087890625,6.186705589294434,101391.203125
77060,29.93567,-95.39697,301.2846374511719,6.279386520385742,101228.9765625
77061,29.65436,-95.28481,301.3908996582031,6.191312789916992,101295.9375
77062,29.57584,-95.13406,301.54840087890625,6.203792572021484,101391.203125
77063,29.7356,-95.52157,301.16839599609375,6.275283336639404,101179.1875
77064,29.92279,-95.5467,301.1484069824219,6.245692253112793,101034.3515625
77065,29.92673,-95.60324,301.1484069824219,6.219232559204102,101034.3515625
77066,29.95714,-95.50277,301.1484069824219,6.243285179138184,101034.3515625
77067,29.95283,-95.44719,301.2846374511719,6.2631754875183105,101228.9765625
77068,30.00628,-95.48694,301.087158203125,6.214404106140137,101077.890625
77069,29.98631,-95.52398,301.1484069824219,6.183757781982422,101034.3515625
77070,29.97783,-95.57377,301.1484069824219,6.161613941192627,101034.3515625
77071,29.65265,-95.52046,301.16839599609375,6.238946437835693,101179.1875
77072,29.70006,-95.58539,301.16839599609375,6.257132053375244,101179.1875
77073,29.99849,-95.39804,301.2846374511719,6.311641693115234,101228.9765625
77074,29.68821,-95.51633,301.16839599609375,6.242563724517822,101179.1875
77075,29.62119,-95.26749,301.3908996582031,6.2083821296691895,101295.9375
77076,29.86002,-95.38328,301.2846374511719,6.223575115203857,101228.9765625
77077,29.75375,-95.64189,301.1484069824219,6.16361141204834,101034.3515625
77078,29.8529,-95.25089,301.2846374511719,6.179127216339111,101228.9765625
77079,29.77632,-95.6037,301.1484069824219,6.229301929473877,101034.3515625
77080,29.81662,-95.52375,301.1484069824219,6.24470329284668,101034.3515625
77081,29.71219,-95.48026,301.3908996582031,6.285358905792236,101295.9375
77082,29.72383,-95.6414,301.16839599609375,6.234223365783691,101179.1875
77083,29.69316,-95.64858,301.16839599609375,6.23504114151001,101179.1875
77084,29.82698,-95.6612,301.1484069824219,6.2092604637146,101034.3515625
77085,29.62465,-95.48411,301.3908996582031,6.213890552520752,101295.9375
77086,29.9186,-95.49064,301.2846374511719,6.259605884552002,101228.9765625
77087,29.68631,-95.3034,301.3908996582031,6.223477363586426,101295.9375
